userID,years_exp_total,number_of_employers,years_exp_relevant,degree_ba,degree_ms,degree_phd,internal_reference,external_web_indeed,external_web_glassdoor,success
0, 6, 3, 3, 1, 0, 0, 0, 1, 0, 0
1, 5, 2, 5, 1, 1, 0, 1, 0, 0, 1
2, 8, 1, 3, 1, 0, 0, 0, 1, 0, 0
3, 6, 3, 2, 1, 0, 0, 1, 0, 0, 0
4, 9, 2, 4, 1, 0, 0, 1, 0, 0, 1
5, 8, 1, 3, 1, 0, 0, 0, 0, 1, 0
6, 12, 1, 9, 1, 0, 0, 1, 0, 0, 1
7, 7, 2, 2, 1, 0, 0, 1, 0, 0, 1
8, 14, 1, 10, 1, 1, 0, 0, 0, 1, 1
9, 10, 1, 6, 0, 0, 0, 1, 0, 0, 1
10, 11, 2, 11, 1, 0, 0, 1, 0, 0, 1
11, 13, 2, 0, 1, 0, 0, 1, 0, 0, 1
12, 2, 3, 0, 1, 0, 0, 1, 0, 0, 0
13, 3, 4, 0, 1, 0, 0, 1, 0, 0, 0
14, 13, 2, 1, 1, 0, 0, 0, 1, 0, 1
15, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1
16, 7, 4, 2, 1, 0, 0, 0, 0, 1, 0
17, 11, 4, 4, 1, 0, 0, 1, 0, 0, 0
18, 13, 2, 3, 1, 0, 0, 1, 0, 0, 1
19, 2, 3, 1, 1, 0, 0, 1, 0, 0, 0
20, 13, 2, 4, 1, 0, 0, 0, 0, 1, 1
21, 6, 1, 2, 1, 0, 0, 0, 0, 1, 1
22, 14, 3, 7, 1, 0, 0, 1, 0, 0, 0
23, 5, 2, 1, 1, 0, 0, 0, 0, 1, 0
24, 9, 2, 0, 1, 0, 0, 1, 0, 0, 0
25, 8, 1, 1, 1, 0, 0, 1, 0, 0, 0
26, 2, 1, 0, 1, 0, 0, 1, 0, 0, 1
27, 1, 2, 0, 1, 0, 0, 0, 1, 0, 0
28, 10, 3, 5, 1, 0, 0, 0, 0, 1, 0
29, 7, 4, 0, 1, 0, 0, 0, 1, 0, 0
30, 11, 4, 0, 1, 0, 0, 0, 1, 0, 0
31, 10, 3, 0, 1, 0, 0, 1, 0, 0, 0
32, 11, 4, 5, 1, 0, 0, 1, 0, 0, 0
33, 13, 2, 5, 1, 0, 0, 0, 0, 1, 0
34, 4, 1, 1, 1, 0, 0, 0, 1, 0, 0
35, 14, 1, 9, 1, 0, 0, 1, 0, 0, 1
36, 5, 2, 1, 1, 0, 0, 1, 0, 0, 0
37, 8, 1, 0, 1, 1, 0, 1, 0, 0, 1
38, 10, 1, 4, 1, 0, 0, 1, 0, 0, 1
39, 14, 1, 3, 1, 0, 0, 1, 0, 0, 1
40, 8, 1, 1, 1, 0, 0, 1, 0, 0, 0
41, 5, 2, 2, 1, 0, 0, 1, 0, 0, 0
42, 12, 1, 10, 1, 0, 0, 1, 0, 0, 1
43, 13, 2, 8, 1, 0, 0, 0, 1, 0, 1
44, 12, 1, 2, 1, 0, 0, 1, 0, 0, 0
45, 13, 2, 11, 1, 0, 0, 1, 0, 0, 1
46, 7, 4, 1, 1, 0, 0, 1, 0, 0, 0
47, 13, 2, 3, 1, 0, 0, 1, 0, 0, 0
48, 14, 1, 6, 1, 0, 0, 1, 0, 0, 1
49, 7, 4, 2, 1, 1, 0, 0, 0, 1, 0
50, 11, 4, 2, 1, 0, 0, 0, 1, 0, 0
51, 12, 1, 2, 1, 0, 0, 0, 0, 1, 0
52, 7, 2, 4, 1, 0, 0, 0, 1, 0, 1
53, 12, 1, 0, 1, 0, 0, 1, 0, 0, 1
54, 8, 1, 0, 1, 0, 0, 0, 0, 1, 0
55, 3, 2, 3, 1, 1, 0, 1, 0, 0, 1
56, 10, 3, 2, 1, 0, 0, 0, 1, 0, 0
57, 4, 1, 0, 1, 0, 0, 1, 0, 0, 1
58, 10, 1, 8, 1, 0, 0, 1, 0, 0, 1
59, 3, 4, 0, 0, 0, 0, 0, 0, 1, 0
60, 10, 3, 4, 1, 0, 0, 1, 0, 0, 0
61, 8, 1, 2, 1, 0, 0, 0, 0, 1, 0
62, 13, 2, 5, 1, 0, 0, 1, 0, 0, 0
63, 6, 1, 0, 1, 0, 0, 1, 0, 0, 1
64, 6, 3, 2, 1, 0, 0, 1, 0, 0, 0
65, 1, 2, 0, 1, 0, 0, 0, 0, 1, 0
66, 11, 4, 3, 1, 0, 0, 0, 0, 1, 0
67, 4, 1, 2, 1, 0, 0, 1, 0, 0, 0
68, 12, 1, 5, 1, 0, 0, 0, 0, 1, 0
69, 8, 1, 1, 1, 0, 0, 1, 0, 0, 0
70, 3, 4, 0, 1, 0, 0, 0, 0, 1, 0
71, 7, 4, 0, 1, 1, 0, 1, 0, 0, 0
72, 6, 1, 6, 1, 0, 0, 1, 0, 0, 1
73, 4, 1, 2, 1, 0, 0, 1, 0, 0, 0
74, 1, 2, 0, 1, 0, 0, 0, 1, 0, 0
75, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1
76, 13, 2, 5, 1, 0, 0, 1, 0, 0, 0
77, 1, 2, 0, 1, 0, 0, 0, 1, 0, 0
78, 9, 2, 2, 1, 0, 0, 1, 0, 0, 1
79, 2, 1, 2, 1, 0, 0, 1, 0, 0, 1
80, 2, 3, 0, 1, 0, 0, 1, 0, 0, 0
81, 3, 2, 0, 1, 1, 0, 1, 0, 0, 1
82, 3, 4, 1, 1, 0, 0, 0, 0, 1, 0
83, 7, 2, 2, 1, 0, 0, 1, 0, 0, 1
84, 5, 2, 1, 1, 0, 0, 1, 0, 0, 1
85, 4, 1, 0, 1, 0, 0, 1, 0, 0, 0
86, 9, 2, 2, 1, 0, 0, 0, 1, 0, 0
87, 10, 1, 7, 1, 0, 0, 0, 0, 1, 1
88, 13, 2, 3, 1, 0, 0, 1, 0, 0, 0
89, 11, 2, 10, 1, 0, 0, 0, 1, 0, 1
90, 7, 4, 0, 1, 0, 0, 0, 0, 1, 0
91, 11, 4, 5, 1, 0, 0, 1, 0, 0, 0
92, 12, 1, 4, 1, 0, 0, 1, 0, 0, 0
93, 9, 2, 1, 1, 0, 0, 0, 0, 1, 0
94, 9, 2, 1, 1, 0, 0, 0, 0, 1, 0
95, 5, 2, 2, 1, 0, 0, 1, 0, 0, 0
96, 12, 1, 4, 1, 0, 0, 1, 0, 0, 0
97, 12, 1, 2, 1, 0, 0, 1, 0, 0, 0
98, 12, 1, 6, 1, 0, 0, 1, 0, 0, 0
